cycle,name,location.x,location.y,my_zone,gender,socio,my_fit,outplay,my_crime,my_simd,my_simd_imp,num_friends,num_car,id_catch,my_neigh_prob,dis_school,x_cor,y_cor,school_walk_prob,avg_mvpa,avg_walk,daily_od,daily_od_mvpa,mvpa_home,mvpa_sc,mvpa_road,mvpa_play_field,mvpa_home_garden,mvpa_park,mvpa_PG,mvpa_amenity,mvpa_shops,mvpa_F_home,mvpa_fsa,per_days_sixt
11286,children73,8186.579734,3682.521765,zone(3),boy,4,0.96813063,1.155751511,-0.292668818,3,0.8,5,2,122,0.184920242,2006,261431,667388,0.808490207,87.2,73.56,20,4,11,24,27,0,0,0,0,4.36,0,0,20,0.96
11286,children74,8069.223887,3699.179451,zone(3),girl,4,0.735070906,0.927274248,-0.292668818,3,0.8,5,2,122,0.14836388,1818,261311,667376,0,45.36,29.48,39,7,6,19,9,1.64,0,4.12,0,1.44,0,2.56,0,0.2
11286,children75,8285.316472,3689.616003,zone(3),boy,1,1.26852518,0.991609774,-0.292668818,3,0.8,5,0,122,0.158657564,2062,261523,667381,1,101.48,89.88,48,16,12,27,31,1.16,0,5.32,0,9.92,0.6,0.72,12,0.96
11286,children76,8333.949446,3715.800494,zone(3),girl,3,0.55950884,1.047565727,-0.292668818,3,0.8,7,2,122,0.167610516,2127,261571,667355,0,41.08,21.16,19,2,5,18,8,0.8,0,0.72,0,0.8,0.44,0.24,6,0.12
11286,children77,8108.986017,3742.679789,zone(3),girl,2,1.296806108,0.955951841,-0.292668818,3,0.8,5,2,122,0.152952295,2183,261353,667325,0.306826989,56.8,23.08,32,7,13,23,8,3.68,0,0.68,0,3.08,0.16,3.92,0,0.4
11286,children78,7979.07837,3790.244859,zone(3),girl,4,0.979392866,0.811767788,-0.292668818,3,0.8,5,2,122,0.129882846,1793,261220,667274,0.213254985,54.24,27.28,6,1,11,21,9,0.68,0,1.2,0,0,0.16,0.32,10,0.48
11286,children79,8005.831217,3687.761565,zone(3),boy,3,0.975596964,1.089687502,-0.292668818,3,0.8,6,1,122,0.17435,1797,261243,667381,0,59.16,11.6,17,5,12,25,3,1.72,0,1,0,2.6,0.44,2.08,9,0.48
11286,children80,7909.430008,3688.49106,zone(3),boy,3,0.769070879,0.903156162,-0.292668818,3,0.8,10,0,122,0.144504986,1817,261154,667383,1,82.52,82.44,34,6,8,23,29,0.32,0,0.68,0,5.08,0.04,0.4,14,0.96
11286,children81,8215.164033,3649.184206,zone(3),girl,1,1.358611347,0.547735292,-0.292668818,3,0.8,8,1,122,0.087637647,2062,261458,667418,0,59.64,21.44,24,7,15,24,7,4.6,0,2.56,0,0.8,0,4.68,0,0.48
11286,children82,8345.504347,3645.120647,zone(3),boy,3,1.087991838,1.156116154,-0.292668818,3,0.8,7,2,122,0.184978585,2118,261585,667424,0.214784707,66.2,27.76,43,13,14,25,9,4.6,0,4.88,0,4.2,0.6,2.24,0,0.68
