DataZone,Freq.,Percent,Cum.
S01011303,1,0.13,64.6
S01011322,1,0.13,64.73
S01011327,1,0.13,64.86
S01011328,1,0.13,64.99
S01011331,1,0.13,65.12
S01011336,1,0.13,65.25
S01011338,1,0.13,65.37
S01011347,2,0.26,65.63
S01011350,1,0.13,65.76
S01011354,1,0.13,65.89
S01011355,1,0.13,66.02
S01011379,1,0.13,66.15
S01011399,2,0.26,66.41
S01011456,1,0.13,66.54
S01011458,2,0.26,66.8
S01011462,2,0.26,67.05
S01011468,3,0.39,67.44
S01011470,2,0.26,67.7
S01011477,2,0.26,67.96
S01011478,1,0.13,68.09
S01011481,1,0.13,68.22
S01011483,1,0.13,68.35
S01011507,1,0.13,68.48
S01011525,2,0.26,68.73
S01011526,2,0.26,68.99
S01011532,1,0.13,69.12
S01011534,1,0.13,69.25
S01011543,1,0.13,69.38
S01011567,1,0.13,69.51
S01011579,1,0.13,69.64
S01011611,1,0.13,69.77
S01011617,1,0.13,69.9
S01011646,2,0.26,70.16
S01011648,1,0.13,70.28
S01011655,1,0.13,70.41
S01011693,1,0.13,70.54
S01011708,1,0.13,70.67
S01011716,1,0.13,70.8
S01011717,1,0.13,70.93
S01011719,1,0.13,71.06
S01011740,1,0.13,71.19
S01011745,1,0.13,71.32
S01011800,1,0.13,71.45
S01011836,1,0.13,71.58
S01011840,1,0.13,71.71
S01011842,1,0.13,71.83
S01011848,1,0.13,71.96
S01011879,3,0.39,72.35
S01011883,1,0.13,72.48
S01011891,1,0.13,72.61
S01011899,1,0.13,72.74
S01011959,1,0.13,72.87
S01011960,1,0.13,73
S01011964,1,0.13,73.13
S01011967,2,0.26,73.39
S01011970,1,0.13,73.51
S01011971,1,0.13,73.64
S01011974,1,0.13,73.77
S01011975,1,0.13,73.9
S01011983,1,0.13,74.03
S01011987,1,0.13,74.16
S01012008,1,0.13,74.29
S01012010,1,0.13,74.42
S01012034,1,0.13,74.55
S01012039,1,0.13,74.68
S01012040,1,0.13,74.81
S01012043,1,0.13,74.94
